SURVEY_#,SURVEY_ID,AGE,GENDER,RACE,INDIGENOUS GROUP,MARITIAL_STATUS,CHILDREN,YEARS_ACTIVE_GUERILLA,QUESTION 2 (WVS #33),QUESTION 3 (WVS #35),QUESTION 5 (WVS-6 #48),QUESTION 6 (WVS #28),QUESTION 8 (WVS #29),QUESTION 9 (WVS #30),QUESTION 11 (WVS #31),QUESTION 12 (WVS #32),HOMOSEXUALITY,PROSTITUTION,ABORTION,DIVORCE,PREMARITAL_SEX,HUSBAND_HITTING_WIFE,BREADWINNER,FEMALE_GUERILLA_LEADERS,%_WOMEN_IN_UNIT,GROUP_DOMESTIC_TASKS,IND_DOMESTIC_TASKS,SPOUSE_EARN_MORE,LITERATE_PRE_GUERILLA,JOINED_FORMAL_EDUCATION,FEMINIST,PRIOR_POLITICS_KNOWLEDGE,FORMER_TRADITIONAL_MINDSET,COMMON_TO_FALL_IN_LOVE,COMMON_TO_HAVE_SEX,SEX_PERMITTED,ROMANCE_CIVILIANS,COMMON_MEN_OR_WOMEN,BIRTH_CONTROL,PREGNANCY,ABORTION.1,PRE_POST_SEXISM,COMMENTS
35,OT-08,38.0,Male,Mestizo,,Co-habitation,2.0,13.0,2.0,2.0,2.0,3,4.0,4.0,4.0,3.0,10.0,1.0,5.0,10.0,10.0,1.0,0,3.0,40%,3.0,3.0,0.0,1.0,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,,"#9: ""ambos"" #38: ""en ninguna"""
36,OT-09,40.0,,White,,Single,,17.0,2.0,2.0,1.0,1,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1,2.0,50%,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2,"#9: ""ambos"""
37,OT-10,48.0,Male,White,,Co-habitation,2.0,23.0,2.0,2.0,1.0,4,4.0,,4.0,4.0,10.0,2.0,1.0,4.0,10.0,1.0,1,2.0,50%,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2,"#9: ""ambos"""
38,OT-11,50.0,Male,Mestizo,,Co-habitation,3.0,20.0,2.0,2.0,1.0,4,4.0,4.0,4.0,1.0,7.0,1.0,1.0,10.0,10.0,1.0,1,3.0,80%,3.0,3.0,0.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,3.0,2,
39,OT-12,24.0,Female,Indigenous,,Married,7.0,,2.0,2.0,1.0,1,3.0,3.0,1.0,1.0,10.0,1.0,1.0,8.0,10.0,1.0,0,2.0,50%,3.0,3.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,"anos formo parte de una guerrilla: ""desde que naci"" #9: ""ambos"""
40,OT-13,37.0,Female,Mestizo,,Single,2.0,22.0,1.0,2.0,1.0,,4.0,4.0,4.0,3.0,9.0,10.0,5.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,1.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2,"#2: ""en la realidad"" #9: ""ambos"" #34: ""Para las mujeres era un crimen"""
41,OT-14,34.0,Female,Other,,Co-habitation,7.0,20.0,2.0,2.0,1.0,4,4.0,3.0,4.0,4.0,10.0,10.0,1.0,10.0,10.0,1.0,0,3.0,20%,3.0,3.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1,"#2: ""el gobierno tiene que si"" #8: ""las mujeres nas que los hombres"" #9: ""por igual debe naber de recho"" #34: ""para la mujer era un des prestiguio"""
42,OT-15,33.0,Female,White,,Co-habitation,,13.0,2.0,2.0,1.0,2,4.0,4.0,3.0,3.0,5.0,9.0,7.0,10.0,10.0,1.0,0,3.0,50%,3.0,3.0,0.0,3.0,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,"#14: ""metodo de consegur trabajo no hay mas opciones"""
43,OT-16,48.0,Male,Mestizo,,Co-habitation,,23.0,2.0,2.0,2.0,3,3.0,4.0,4.0,4.0,10.0,3.0,2.0,10.0,10.0,1.0,0,2.0,30%,3.0,3.0,0.0,2.0,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,3.0,2,
44,OT-17,35.0,Female,Black,,Co-habitation,2.0,16.0,2.0,2.0,1.0,2,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,50%,3.0,3.0,0.0,3.0,0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2,
45,OT-18,40.0,Male,Indigenous,Kankuamo,Co-habitation,1.0,16.0,0.0,2.0,1.0,3,3.0,,4.0,4.0,10.0,7.0,1.0,10.0,1.0,1.0,1,2.0,60%,3.0,3.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,2,"#9: ""ambos"""
46,OT-19,28.0,Female,Indigenous,Yukpa,Co-habitation,,15.0,2.0,2.0,2.0,1,,4.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,1.0,1,2.0,40%,2.0,3.0,0.0,2.0,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,
47,OT-20,26.0,Female,Indigenous,Wayu,Co-habitation,1.0,15.0,1.0,2.0,1.0,4,4.0,4.0,4.0,4.0,10.0,1.0,1.0,10.0,10.0,1.0,0,3.0,40%,3.0,3.0,0.0,3.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,2.0,2,"#9: ""ambos"" #34: ""no era comun para ninguno"""
48,OT-21,40.0,Male,Indigenous,Yukpa,Co-habitation,,16.0,2.0,2.0,2.0,4,4.0,,4.0,3.0,10.0,10.0,1.0,10.0,10.0,1.0,1,3.0,80%,3.0,3.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2,
49,OT-22,39.0,Male,Mestizo,,Co-habitation,2.0,20.0,2.0,2.0,2.0,4,4.0,4.0,4.0,4.0,1.0,1.0,1.0,10.0,10.0,1.0,1,3.0,100%,3.0,3.0,0.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,2,
