survey_#,survey_id,age,gender,race,indigenous_group,marital_status,children,age_entered,years_active_guerilla,question 2 (wvs #33),question 3 (wvs #35),question 5 (wvs-6 #48),question 6 (wvs #28),question 8 (wvs #29),question 9 (wvs #30),question 11 (wvs #31),question 12 (wvs #32),homosexuality,prostitution,abortion,divorce,premarital_sex,husband_hitting_wife,breadwinner,female_guerilla_leaders,pct_women_in_unit,group_domestic_tasks,ind_domestic_tasks,spouse_earn_more,literate_pre_guerilla,joined_formal_education,feminist,prior_politics_knowledge,former_traditional_mindset,common_to_fall_in_love,common_to_have_sex,sex_permitted,romance_civilians,common_men_or_women,birth_control,pregnancy,abortion_commonness,pre_post_sexism
51,OT-24,53.0,Female,Indigenous,Kankuama,Single,2.0,18.0,30.0,,2.0,1.0,3.0,4.0,4.0,4.0,1.0,8.0,9.0,1.0,10.0,3.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0
52,OT-25,46.0,Male,Other,,Separated,1.0,24.0,17.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,10.0,10.0,1.0,1.0,2.0,30.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
53,OT-26,27.0,Male,Indigenous,Wayu,Single,1.0,,15.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,10.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0
54,MT-01,53.0,Male,Mestizo/a,,Co-habitation,3.0,24.0,24.0,2.0,2.0,1.0,4.0,3.0,3.0,1.0,3.0,7.0,1.0,4.0,7.0,10.0,1.0,1.0,3.0,20.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0
55,MT-02,58.0,Male,Mestizo/a,,Co-habitation,1.0,23.0,30.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,1.0,1.0,2.0,30.0,3.0,2.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0
56,AT-01,50.0,Male,Indigenous,Wayuu,Co-habitation,1.0,19.0,26.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0,1.0,1.0,3.0,10.0,1.0,1.0,1.0,40.0,3.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0
57,AT-02,24.0,Female,Indigenous,Kankuama,Co-habitation,1.0,,20.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,10.0,1.0,1.0,8.0,9.0,1.0,0.0,2.0,40.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,2.0
58,AT-03,53.0,Female,Indigenous,Kankuama,Widow,2.0,18.0,30.0,2.0,2.0,1.0,3.0,4.0,3.0,2.0,2.0,10.0,10.0,1.0,10.0,10.0,1.0,0.0,2.0,30.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,2.0,2.0
59,AT-04,22.0,Female,Indigenous,Wayuu,Co-habitation,1.0,14.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,3.0,10.0,5.0,1.0,10.0,10.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,2.0,2.0,
60,AT-05,37.0,Female,Other,,Co-habitation,1.0,14.0,18.0,2.0,2.0,1.0,1.0,4.0,3.0,4.0,4.0,10.0,1.0,3.0,10.0,10.0,1.0,1.0,2.0,30.0,2.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
61,AT-06,47.0,Male,Black,,Married,7.0,22.0,20.0,,2.0,2.0,2.0,3.0,3.0,3.0,3.0,10.0,4.0,1.0,10.0,10.0,1.0,0.0,2.0,30.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
62,AT-07,38.0,Male,Other,,Co-habitation,2.0,16.0,17.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0,2.0,5.0,5.0,7.0,1.0,0.0,2.0,30.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,2.0
63,AT-08,43.0,Female,Indigenous,Kankuama,Single,,13.0,25.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,4.0,8.0,5.0,1.0,8.0,8.0,1.0,1.0,2.0,40.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0
64,AT-09,32.0,Male,Black,,Single,1.0,21.0,6.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,10.0,1.0,5.0,10.0,10.0,1.0,1.0,2.0,40.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,2.0
65,AT-10,44.0,Male,Other,,Co-habitation,3.0,9.0,30.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,10.0,5.0,1.0,10.0,10.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,2.0,1.0,0.0,0.0
66,AT-11,27.0,Female,Other,,Co-habitation,3.0,19.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,10.0,5.0,1.0,10.0,10.0,1.0,0.0,2.0,10.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,4.0,1.0,1.0,0.0
67,AT-12,52.0,Male,Mestizo/a,,Single,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
